coupon_id,coupon_name,price,tag_code,image_url,category_code,created_at,updated_at
1,메가MGC커피 아메리카노(HOT) 2잔,,5348024557502464,,001,2025-06-07 02:23:00,2025-06-07 02:23:00
2,배스킨라빈스 파인트 4천원 할인쿠폰,,4644337116250112,,002,2025-06-07 02:23:00,2025-06-07 02:23:00
3,"파리바게뜨 2,500원 할인쿠폰 2매",,13073748835532800,,002,2025-06-07 02:23:00,2025-06-07 02:23:00
4,리디셀렉트 전자책 무제한구독권,,206159479296,,008,2025-06-07 02:23:00,2025-06-07 02:23:00
5,카카오페이지 페이지 3천 캐시,,206159479296,,008,2025-06-07 02:23:00,2025-06-07 02:23:00
6,재담쇼츠 웹툰 3일 무제한 이용권,,137574219776,,008,2025-06-07 02:23:00,2025-06-07 02:23:00
7,CU 실속한끼 도시락&샐러드 20% 할인,,18016597935390720,,004,2025-06-07 02:23:00,2025-06-07 02:23:00
8,다이소 모바일 금액권 2천원,,2199425908736,,011,2025-06-07 02:23:00,2025-06-07 02:23:00
9,탑툰 웹툰 15코인 충전권,,206159479296,,008,2025-06-07 02:23:00,2025-06-07 02:23:00
10,스토리텔 오디오북 무제한구독권,,37134696926855170,,007,2025-06-07 02:23:00,2025-06-07 02:23:00
11,요기요 2천원 할인쿠폰 2매,,2233416548352,,003,2025-06-07 02:23:00,2025-06-07 02:23:00
12,스노우 VIP이용권,,288371113841393660,,011,2025-06-07 02:23:00,2025-06-07 02:23:00
13,CJ더마켓 4천원 적립금,,2199560134656,,011,2025-06-07 02:23:00,2025-06-07 02:23:00
14,블라이스 웹툰&웹소설 무제한 구독권,,206159478784,,008,2025-06-07 02:23:00,2025-06-07 02:23:00
15,카카오웹툰 웹툰 3천 캐시,,137573171200,,008,2025-06-07 02:23:00,2025-06-07 02:23:00
16,더중앙플러스 프리미엄콘텐트 무제한 구독권,,4398046806016,,010,2025-06-07 02:23:00,2025-06-07 02:23:00
17,파파존스 라지피자 30% 할인,,34393300992,,003,2025-06-07 02:23:00,2025-06-07 02:23:00
18,GS 5천원 할인쿠폰,,18016597935390720,,004,2025-06-07 02:23:00,2025-06-07 02:23:00
19,스파오 5천원 할인쿠폰,,72057594440581124,,005,2025-06-07 02:23:00,2025-06-07 02:23:00
20,cgv 팝콘+음료,,140746078822400,,011,2025-06-07 02:23:00,2025-06-07 02:23:00
21,예스24크레마클럽 구독팩,,1099512676864,,006,2025-06-07 02:23:00,2025-06-07 02:23:00
22,배민 3천원 할인쿠폰 2매,,2233416548352,,003,2025-06-07 02:23:00,2025-06-07 02:23:00
23,이모티콘플러스 월 구독권,,432345564227567610,,011,2025-06-07 02:23:00,2025-06-07 02:23:00
24,스타벅스 아이스 아메리카노(Tall) 2잔,,5348024557502464,,001,2025-06-07 02:23:00,2025-06-07 02:23:00
