plan_id,plan_name,price,month_data,call_usage,message_usage,benefit,tag_code,age_code,category_code,created_at,updated_at
1,5G 프리미어 에센셜,85000,-1,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,33,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
2,5G 스탠다드,75000,150,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,32,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
3,5G 심플+,61000,31,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,32,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
4,5G 프리미어 레귤러,95000,-1,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,33,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
5,유쓰 5G 스탠다드,75000,210,무제한,기본제공,U⁺모바일tv 무료,32,001,001,2025-06-07 01:39:50,2025-06-07 01:39:50
6,5G 데이터 레귤러,63000,50,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,37,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
7,5G 데이터 플러스,66000,80,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,37,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
8,5G 라이트+,66000,14,무제한,기본제공,U⁺ 모바일tv 라이트 무료,38,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
9,유쓰 5G 데이터 플러스,55000,110,무제한,기본제공,U⁺모바일tv 무료,37,001,001,2025-06-07 01:39:50,2025-06-07 01:39:50
10,5G 미니,37000,5,무제한,기본제공,U⁺ 모바일tv 라이트 무료,38,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
11,유쓰 5G 라이트+,55000,26,무제한,기본제공,U⁺ 모바일tv 라이트 무료,38,001,001,2025-06-07 01:39:50,2025-06-07 01:39:50
12,5G 슬림+,47000,9,무제한,기본제공,U⁺ 모바일tv 라이트 무료,38,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
13,5G 프리미어 플러스,105000,-1,무제한,기본제공,U⁺ 모바일tv 기본 월정액 무료,37,004,001,2025-06-07 01:39:50,2025-06-07 01:39:50
14,5G 시니어 B형,43000,10,무제한,기본제공,U⁺ 모바일tv라이트 무료,38,002,001,2025-06-07 01:39:50,2025-06-07 01:39:50
