service_id,service_name,price,image_url,service_description,sale_rate,tag_code,category_code,created_at,updated_at
1,티빙 월정액 (U+요금제 전용),9500,,"티빙 오리지널 콘텐츠, 방송, 영화, 해외시리즈까지!",70,2251800887431168,004,2025-06-07 01:10:00,2025-06-07 01:10:00
2,지니뮤직 마음껏듣기 월정액,7900,,데이터 걱정없는 무제한 나만의 음악 요정 지니,0,549755820032,031,2025-06-07 01:10:00,2025-06-07 01:10:00
3,지니뮤직 100곡 듣기,3900,,100곡으로 부담없이 듣는 나만의 음악 요정 지니,0,549755820032,031,2025-06-07 01:10:00,2025-06-07 01:10:00
4,유튜브 프리미엄 (U+요금제 전용),14900,,YouTube와 YouTube Music에서 광고 없는 서비스 이용,70,2474035380224,030,2025-06-07 01:10:00,2025-06-07 01:10:00
5,V컬러링 할인구독권,3300,,보이는 통화연결음으로 나를 표현해보세요,5,141287378386944,031,2025-06-07 01:10:00,2025-06-07 01:10:00
6,디즈니+,9900,,"드라마, 애니메이션, 영화를 다양하게 시청하세요.",5,2199163768832,004,2025-06-07 01:10:00,2025-06-07 01:10:00
7,넷플릭스 월정액,7000,,넷플릭스에서 영화와 시리즈를 무제한으로 즐겨보세요!,0,2199165997056,004,2025-06-07 01:10:00,2025-06-07 01:10:00
8,탑툰 50코인 충전권,9500,,매일 업데이트 되는 탑툰 50코인 충전권,0,206159479296,029,2025-06-07 01:10:00,2025-06-07 01:10:00
9,카카오페이지 + 블라이스 웹툰팩,9500,,세상의 모든 이야기 카카오페이지를 즐겨보세요!,0,206159479296,029,2025-06-07 01:10:00,2025-06-07 01:10:00
10,리디셀렉트 도서멤버쉽 월정액,4900,,"소설, 웹툰, 전문서적까지 이 모든걸 3,900원으로",20,206159479296,012,2025-06-07 01:10:00,2025-06-07 01:10:00
11,예스24 크레마 클럽 1개월 이용권,5500,,제한 없는 전자책 백화점 지식클럽 크레마 클럽,18,1099512676864,012,2025-06-07 01:10:00,2025-06-07 01:10:00
12,밀리의 서재 1개월 구독권,9900,,독서하기 좋은 계절 나만의 서재 밀리의서재,0,1099512676864,012,2025-06-07 01:10:00,2025-06-07 01:10:00
13,재담쇼츠 월구독권,8900,,각별한 작가들이 담아낸 독특한 일상의 재현과 환상 서사가 당신의 한때를 재미와 의미로 채워줘요,0,137574219776,012,2025-06-07 01:10:00,2025-06-07 01:10:00
14,"리디 캐시 10,000원권",10000,,리디북스 금액권을 할인된 가격에 받아보세요.,10,206159479296,012,2025-06-07 01:10:00,2025-06-07 01:10:00
15,롱블랙 월 구독권,4900,,"매일아침 10분, 트렌드 따라잡기",10,1099511889920,010,2025-06-07 01:10:00,2025-06-07 01:10:00
16,동아 비즈니스 리뷰 디지털 월 구독권,18900,,직장인이라면 트렌드 파악은 필수! 동아비즈니스리뷰 구독으로 최신 트렌드 놓치지 마세요!,48,4398046806016,007,2025-06-07 01:10:00,2025-06-07 01:10:00
17,하버드 비즈니스 리뷰 디지털 월 구독권,16000,,100년 내공의 프리미엄 비즈니스 아티클 HBR,42,4398046806016,007,2025-06-07 01:10:00,2025-06-07 01:10:00
18,모바일한경 월 구독권,15000,,6개월만 꾸준히 구독하시면 돈의 흐름이 보입니다.,78,4398046806016,010,2025-06-07 01:10:00,2025-06-07 01:10:00
19,아웃스탠딩 IT뉴스 멤버십,9900,,앞서는 트렌드는 여기서 IT 매거진 아웃스탠딩,15,134480896,010,2025-06-07 01:10:00,2025-06-07 01:10:00
20,클래스101+ 월 구독권,24900,,세상의 모든 클래스를 오로지 하나의 구독으로!,20,71485435674624,026,2025-06-07 01:10:00,2025-06-07 01:10:00
21,시원스쿨 여행영어 월 수강권,99000,,만능패턴 22가지로 여행영어부터 일상 회화까지 한 번에 마스터할 수 있는 이시원 강사의 여행 영어,97,1120986464256,026,2025-06-07 01:10:00,2025-06-07 01:10:00
22,야나두 클래스 월 구독권,33250,,"하루 10분이면 야, 너두 할 수 있어!",70,1120986464256,026,2025-06-07 01:10:00,2025-06-07 01:10:00
23,케이크 플러스 월 구독권,16000,,전 세계 1억 명이 선택한 영어회화 앱,38,71485435674624,026,2025-06-07 01:10:00,2025-06-07 01:10:00
24,문정아중국어 회화 전 과정 월 구독권,40000,,"왕초보, 발음, 기초회화 중국어 전과정 수강하자",59,9912784519168,026,2025-06-07 01:10:00,2025-06-07 01:10:00
25,문정아중국어 HSK 전 과정 월 구독권,60000,,HSK 2~6급 대비강의 전 과정 수강 가능!,69,9912784519168,026,2025-06-07 01:10:00,2025-06-07 01:10:00
26,시원스쿨 종합코스 1개월 이용권,19750,,만능패턴 22가지로 여행영어부터 일상 회화까지 한 번에 마스터할 수 있는 이시원 강사의 여행 영어,5,1120986464256,026,2025-06-07 01:10:00,2025-06-07 01:10:00
27,폴 바셋 기프트카드 1만원,10000,,"맛있는 라떼, 아이스크림 프리미엄 스페셜 티 폴 바셋",5,844425064349696,021,2025-06-07 01:10:00,2025-06-07 01:10:00
28,CJ더마켓 적립급 (7천원) + 쿠폰 2종,7000,,비비고 고메 햇반까지! 냉장고 꽉 채워 힐링해요,5,2199560134656,021,2025-06-07 01:10:00,2025-06-07 01:10:00
29,일리 커피머신&커피캡슐 1팩,27792,,일리의 고급 커피머신과 커피캡슐 마음껏 즐기세요,33,844425064349696,041,2025-06-07 01:10:00,2025-06-07 01:10:00
30,일리 커피캡슐 1팩,19500,,커피명가 일리 커피캡슐 집에서 마음껏 즐겨봐요,5,844425064349696,041,2025-06-07 01:10:00,2025-06-07 01:10:00
31,와우회원 혜택,7890,,오늘 주문하면 내일 도착하는 빠른 배송과 무료 반품도 가능해요.,5,37383563128832,017,2025-06-07 01:10:00,2025-06-07 01:10:00
32,요기요 할인쿠폰 정기구독권,12000,,"우리 동네 맛집을 빠르게 즐겨요, 요기요",50,2233416548352,017,2025-06-07 01:10:00,2025-06-07 01:10:00
33,스노우 VIP 월 구독권,4500,,스노우 필터로 앱 / 웹에서 BEFORE & AFTER 이미지를 효과적으로 제공해보세요,11,140737689681920,018,2025-06-07 01:10:00,2025-06-07 01:10:00
34,맥아피 시큐리티 구독권,6250,,강력한 바이러스 백신 및 안전한 브라우저로 24시간 연중무휴로 보호를 받으세요.,38,402654208,002,2025-06-07 01:10:00,2025-06-07 01:10:00
35,쏘카 크레딧 1만원,10000,,스마트폰으로 시간에 구애받지 않고 쏘카와 함께 이동하세요!,5,17594467745792,023,2025-06-07 01:10:00,2025-06-07 01:10:00
36,GS칼텍스 주유세차권 & 차량 정비 서비스,29000,,주유부터 세차까지 내 차를 관리 해주는 혜택,80,17594467745792,036,2025-06-07 01:10:00,2025-06-07 01:10:00
37,쿠키즈 월 구독권,6900,,아이를 위한 재밌고 신나는 교육 콘텐츠를 제공하는 프리미엄 키즈 전용 플랫폼,41,1125899906916352,042,2025-06-07 01:10:00,2025-06-07 01:10:00
38,쿠키즈 월 이용권,16900,,아이를 위한 재밌고 신나는 교육 콘텐츠를 제공하는 프리미엄 키즈 전용 플랫폼,47,1125899906916352,042,2025-06-07 01:10:00,2025-06-07 01:10:00
39,해피독TV 월정액,8800,,수의학과 전문가의 의견을 바탕으로 제공되는 해피독TV를 이용해보세요!,5,151003136,016,2025-06-07 01:10:00,2025-06-07 01:10:00
40,"예스24 온라인 상품권 15,000원",15000,,제한 없는 전자책 백화점 지식클럽 크레마 클럽,0,1099512676864,012,2025-06-07 01:10:00,2025-06-07 01:10:00
41,컬쳐랜드 모바일 문화상품권 1만원,10000,,"도서, 문구, 편의점, 쇼핑 편리하게 문화생활을 선물하세요",2,403718144,019,2025-06-07 01:10:00,2025-06-07 01:10:00
42,CGV 2D 영화관람권 2매 + CGV콤보,37000,,최신 영화를 최대 혜택으로 즐기세요!,23,140746078822400,025,2025-06-07 01:10:00,2025-06-07 01:10:00
43,다이소 금액권 1만원,10000,,"일상이 다이소가 되다. 온라인 국민가게, 다이소.",0,2199425908736,019,2025-06-07 01:10:00,2025-06-07 01:10:00
44,CGV 2D 영화관람권 1매 + 스몰세트,20000,,최신 영화를 최대 혜택으로 즐겨보세요!,22,140746078822400,025,2025-06-07 01:10:00,2025-06-07 01:10:00
45,컬쳐랜드 모바일 문화상품권 5천원,5000,,"도서, 문구, 편의점, 쇼핑 편리하게 문화생활을 선물하세요",0,403718144,019,2025-06-07 01:10:00,2025-06-07 01:10:00
46,CGV 2D 영화관람권 3매,39000,,전국 모든 CGV에서 2D 영화를 더욱 저렴한 가격으로 볼 수 있어요,24,140746078822400,025,2025-06-07 01:10:00,2025-06-07 01:10:00
47,CGV 2D 영화관람권 4매,52000,,전국 모든 CGV에서 2D 영화를 더욱 저렴한 가격으로 볼 수 있어요,24,140746078822400,025,2025-06-07 01:10:00,2025-06-07 01:10:00
48,CGV 2D 영화관람권 1매,13000,,전국 모든 CGV에서 2D 영화를 더욱 저렴한 가격으로 볼 수 있어요,24,140746078822400,025,2025-06-07 01:10:00,2025-06-07 01:10:00
49,CGV 2D 영화관람권 2매,26000,,전국 모든 CGV에서 2D 영화를 더욱 저렴한 가격으로 볼 수 있어요,24,140746078822400,025,2025-06-07 01:10:00,2025-06-07 01:10:00
